[[[0.6461236  0.1098676  0.80422366]
  [0.5726182  0.3986533  0.60733104]
  [0.39283773 0.3850201  0.41810536]
  [0.26824608 0.83190864 0.6109686 ]
  [0.         0.         0.        ]
  [0.74010557 0.3850825  0.5680452 ]
  [0.754408   0.7338074  0.6328706 ]
  [0.69305724 0.9707674  0.5807443 ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.5889329  0.05270859 0.8334949 ]
  [0.6747175  0.05806067 0.8374647 ]
  [0.48678035 0.09902619 0.7752407 ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]]
