[[[1.0077412  0.37140885 0.36895972]
  [0.6216126  0.61391485 0.19640687]
  [0.43367627 0.5321737  0.15328181]
  [0.23348364 0.7528594  0.05758704]
  [0.         0.         0.        ]
  [0.7707293  0.619374   0.22245562]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.94238734 0.28144568 0.7108946 ]
  [0.         0.         0.        ]
  [0.70946115 0.29780933 0.5292338 ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]
  [0.         0.         0.        ]]]
